Employee_ID,First_Name,Last_Name,Gender,Age,Join_Date,Department,City,Salary_PKR,Phone,Email,Performance_Score,
EMP 0137,usman,AHMED,Male,,13-Jun-23,sales,Islamabad,79010,not provided,usman.ahmed@outlook.com,not rated,
EMP199,ahmed,SHEIKH,m,36,02-12-20,IT,LAHORE,62404,03206551224,ahmed.sheikh @ yahoo.com,not rated,
EMP110,bilal,Qureshi,m,N/A,31-Dec-20,sales,Karachi,,not provided,N/A,,
EMP28,nadia,chaudhry,Female,47,04-25-2023,marketing,karachi,,N/A,N/A,1.1,
emp0063,ahmed,butt,MALE,,05-Jun-23,H.R,Lahore,107734,-3007537,N/A,,
EMP 0155,Sara,Qureshi,MALE,unknown,16-Jan-22,FINANCE,Lahore,77147,not provided,N/A,,
EMP0056,hassan,HUSSAIN,MALE,N/A,28-11-22,hr,Islamabad,PKR 123700,not provided,hassan.hussain@yahoo.com,,
emp0024,Sara,malik,M,N/A,09-Feb-21,H.R,Islamabad,37307,03324885600,missing,N/A,
emp0097,Sara,malik,female,,27-May-21,Sales,Rawalpindi,54876,not provided,sara. malik@yahoo. com,2,
EMP0003,Zara,chaudhry,m,34,02-01-22,sales,islamabad,,N/A,,3.6,
EMP0129,Ali,Qureshi,Female,,18-03-20,sales,islamabad,PKR 142732,-1198303,ali.qureshi@gmail.com,not rated,
EMP0096,FATIMA,butt,male,,15-May-23,IT,Karachi,109278,-9424277,,,
EMP 0070,FATIMA,SHEIKH,F,,05-04-21,I.T,rawalpindi,62527,03343875647,fatima.sheikh @ yahoo.com,2.5,
EMP0150,MARIA,AHMED,Male,54,07-28-2021,Sales,lahore,49173,N/A,maria. ahmed@gmail. com,not rated,
EMP0146,usman,AHMED,male,43,01-17-2021,Marketing,karachi,N/A,N/A,,not rated,
emp0038,usman,Akhtar,M,unknown,06-Nov-22,SALES,KARACHI,PKR 64374,N/A,usman.akhtar @ yahoo.com,2.2,
EMP0089,usman,SHEIKH,f,N/A,12-Dec-20,marketing,karachi,100479,N/A,usman.sheikh@hotmail.com,not rated,
emp0083,nadia,Mirza,FEMALE,N/A,17-Mar-21,it,Lahore,125701,-5342983,nadia.mirza @ hotmail.com,,
EMP 0143,usman,Qureshi,male,,31-03-21,finance,LAHORE,106877,-9092655,usman. qureshi@outlook. com,not rated,
EMP94,Zara,AHMED,female,,17-Nov-23,hr,KARACHI,"122,603",0322 4318291,N/A,,
emp0008,MARIA,SHEIKH,Female,N/A,11-03-23,I.T,Islamabad,133311,0344 3135411,maria.sheikh @ outlook.com,,
EMP131,FATIMA,HUSSAIN,FEMALE,N/A,23-Dec-20,SALES,karachi,75658,0324 2132784,,not rated,
EMP 0141,ahmed,malik,female,unknown,08-23-2021,H.R,Lahore,PKR 77368,0340 9766725,ahmed.malik@hotmail.com,4,
emp0166,hassan,butt,FEMALE,28,17-03-21,hr,lahore,PKR 132792,N/A,,N/A,
EMP 0181,usman,AHMED,MALE,47 yrs,17-03-20,it,rawalpindi,N/A,03224138407,usman.ahmed @ gmail.com,not rated,
EMP 0119,MARIA,malik,m,N/A,03-13-2020,hr,Lahore,62601,,maria. malik@yahoo. com,2,
EMP 0188,FATIMA,AHMED,male,N/A,05-28-2021,H.R,KARACHI,81153,0320 7597931,N/A,,
EMP159,Sara,malik,Female,N/A,26-08-23,I.T,LAHORE,,0342-2992022,missing,3,
EMP 0169,Sara,AHMED,M,52,09-12-22,IT,KARACHI,,0317-2882790,sara. ahmed@hotmail. com,5,
EMP 0092,Ali,butt,female,50 yrs,18-Apr-23,finance,KARACHI,53777,0316-2873925,ali.butt @ outlook.com,1,
EMP0039,Ali,HUSSAIN,male,,05-11-22,HR,islamabad,46628,N/A,N/A,not rated,
EMP 0170,usman,HUSSAIN,FEMALE,29 yrs,05-12-23,FINANCE,Lahore,120271,,,2.6,
emp0042,ahmed,Khan,f,,26-Sep-23,Marketing,LAHORE,"118,690",0321 9597356,missing,N/A,
emp0123,FATIMA,Akhtar,FEMALE,26,03-08-20,marketing,rawalpindi,88326,0349 5711962,missing,3,
EMP0120,hassan,AHMED,m,35,16-10-20,finance,Karachi,45243,03484540337,N/A,N/A,
EMP58,ahmed,HUSSAIN,Male,33 yrs,05-Feb-21,IT,rawalpindi,"90,701",03146947076,N/A,4.3,
EMP28,nadia,chaudhry,Female,47,04-25-2023,marketing,karachi,,N/A,N/A,1.1,
EMP 0074,nadia,Mirza,m,,04-07-21,SALES,Karachi,,0318-3396168,nadia.mirza @ hotmail.com,2,
EMP0102,MARIA,Mirza,Female,26,12-Mar-21,HR,lahore,135056,0346-6300897,missing,N/A,
emp0173,hassan,SHEIKH,F,46,31-03-20,Finance,KARACHI,N/A,N/A,HASSAN.SHEIKH@YAHOO.COM,not rated,
emp0063,ahmed,butt,MALE,,05-Jun-23,H.R,Lahore,107734,-3007537,N/A,,
EMP195,bilal,AHMED,male,N/A,08-07-20,SALES,Karachi,131457,N/A,BILAL.AHMED@YAHOO.COM,,
EMP 0147,FATIMA,chaudhry,f,,15-Aug-21,it,rawalpindi,N/A,-8649855,fatima.chaudhry@outlook.com,5,
EMP98,FATIMA,Akhtar,F,,02-16-2020,H.R,Rawalpindi,,N/A,N/A,not rated,
EMP 0179,ahmed,HUSSAIN,F,44 yrs,18-10-22,sales,lahore,55204,N/A,ahmed.hussain@gmail.com,N/A,
EMP 0022,FATIMA,malik,M,unknown,07-06-20,marketing,lahore,61523,-7970837,FATIMA.MALIK@GMAIL.COM,N/A,
EMP 0142,bilal,butt,male,unknown,19-12-21,finance,KARACHI,127523,0348 7928701,bilal. butt@hotmail. com,not rated,
EMP 0055,FATIMA,AHMED,f,,03-Jan-20,IT,karachi,PKR 119892,-9122210,FATIMA.AHMED@HOTMAIL.COM,,
EMP0124,nadia,Akhtar,Male,unknown,05-Aug-21,I.T,lahore,N/A,,NADIA.AKHTAR@YAHOO.COM,not rated,
emp0118,hassan,AHMED,m,N/A,21-05-22,FINANCE,Rawalpindi,PKR 43336,N/A,HASSAN.AHMED@GMAIL.COM,N/A,
EMP 0167,Zara,Mirza,MALE,N/A,09-05-23,H.R,islamabad,64728,03268814879,zara.mirza@outlook.com,not rated,
EMP121,MARIA,chaudhry,FEMALE,,17-03-23,hr,LAHORE,N/A,not provided,N/A,3,
emp0104,MARIA,malik,female,52,31-10-20,it,LAHORE,,not provided,maria. malik@yahoo. com,1.4,
EMP0072,Ali,SHEIKH,m,N/A,10-22-2022,marketing,rawalpindi,90709,03128929215,missing,N/A,
EMP140,MARIA,Qureshi,male,24,30-Mar-20,I.T,Islamabad,,0324 7750652,,N/A,
EMP44,ahmed,Khan,FEMALE,39 yrs,07-13-2023,SALES,Rawalpindi,,N/A,N/A,5,
emp0065,hassan,butt,Male,28 yrs,02-Aug-20,HR,KARACHI,145310,-9391531,hassan.butt@outlook.com,not rated,
EMP0018,Ali,AHMED,Male,N/A,17-08-21,SALES,KARACHI,94545,0314 1676033,,N/A,
EMP 0193,hassan,AHMED,male,unknown,30-Oct-21,sales,Islamabad,PKR 88758,0338-4221363,hassan. ahmed@outlook. com,not rated,
EMP2,Zara,Akhtar,M,unknown,24-11-21,marketing,Lahore,123936,0315 8869169,zara.akhtar@outlook.com,1,
EMP64,Ali,chaudhry,Male,22 yrs,18-Sep-20,I.T,lahore,"100,343",03452512198,missing,not rated,
EMP197,MARIA,chaudhry,FEMALE,32 yrs,16-Oct-23,Finance,karachi,N/A,03236936154,,N/A,
EMP 0017,hassan,Khan,male,58 yrs,18-05-23,HR,Islamabad,N/A,not provided,hassan.khan @ outlook.com,2,
EMP 0163,bilal,Mirza,female,54 yrs,16-Dec-20,Marketing,islamabad,54560,03223345422,bilal.mirza@outlook.com,,
emp0023,FATIMA,SHEIKH,Male,N/A,23-01-21,Marketing,Karachi,"116,906",,fatima.sheikh@hotmail.com,,
EMP0015,usman,AHMED,male,unknown,12-21-2020,finance,LAHORE,N/A,,N/A,,
emp0007,Zara,chaudhry,Male,47 yrs,04-16-2021,sales,KARACHI,,0324-6211949,ZARA.CHAUDHRY@HOTMAIL.COM,2,
EMP0183,nadia,SHEIKH,Male,N/A,28-09-22,Marketing,Rawalpindi,39265,,nadia.sheikh @ outlook.com,2,
emp0132,usman,SHEIKH,MALE,57 yrs,14-09-23,finance,Karachi,146532,0314 3679886,missing,N/A,
EMP0081,bilal,HUSSAIN,MALE,36 yrs,22-May-21,hr,LAHORE,,0324 2795966,bilal.hussain@gmail.com,not rated,
EMP93,FATIMA,butt,Male,,13-Mar-23,marketing,LAHORE,132430,not provided,N/A,3.4,
EMP 0021,nadia,Qureshi,M,N/A,25-10-22,H.R,Islamabad,,03469130911,nadia. qureshi@gmail. com,,
emp0168,FATIMA,Akhtar,M,unknown,04-02-21,hr,lahore,142667,-9532085,fatima.akhtar@hotmail.com,,
EMP 0006,FATIMA,chaudhry,MALE,N/A,15-01-21,H.R,islamabad,"95,697",0310 1799898,fatima. chaudhry@yahoo. com,4,
EMP 0125,FATIMA,Akhtar,f,N/A,10-Dec-21,it,karachi,N/A,03181166411,missing,not rated,
emp0153,Zara,Mirza,Male,,20-04-23,sales,Karachi,PKR 71112,0311-5600838,missing,3.1,
EMP 0047,Zara,AHMED,f,unknown,05-02-22,FINANCE,KARACHI,93370,-3982728,,5,
EMP9,bilal,Mirza,FEMALE,N/A,02-08-21,marketing,rawalpindi,,not provided,N/A,3,
emp0043,MARIA,Khan,Male,,13-10-23,it,KARACHI,50895,0324 6029010,maria. khan@hotmail. com,N/A,
EMP0090,Ali,Akhtar,f,42,06-01-23,IT,lahore,N/A,-8107166,missing,1,
EMP94,Zara,AHMED,female,,17-Nov-23,hr,KARACHI,"122,603",0322 4318291,N/A,,
EMP27,FATIMA,HUSSAIN,m,23,24-02-22,finance,islamabad,126692,not provided,fatima. hussain@outlook. com,not rated,
EMP0069,FATIMA,malik,FEMALE,45 yrs,19-12-21,IT,islamabad,111375,-4494558,fatima. malik@gmail. com,not rated,
EMP 0191,nadia,malik,F,N/A,09-09-20,hr,Rawalpindi,68350,0339-8831236,NADIA.MALIK@OUTLOOK.COM,1.1,
EMP 0109,ahmed,chaudhry,m,33 yrs,24-Jun-23,Sales,lahore,,N/A,,N/A,
EMP 0196,bilal,SHEIKH,male,unknown,17-12-21,sales,Islamabad,PKR 55079,0334-7193366,bilal.sheikh@yahoo.com,3,
EMP 0029,bilal,Qureshi,f,23,18-10-21,IT,rawalpindi,,-1121091,BILAL.QURESHI@HOTMAIL.COM,,
EMP5,usman,chaudhry,female,,13-05-23,IT,KARACHI,109696,0317-2618720,usman.chaudhry @ yahoo.com,2,
emp0067,usman,Khan,f,27 yrs,12-Jan-21,SALES,Lahore,,03493458825,usman.khan @ outlook.com,4.2,
EMP 0078,FATIMA,Mirza,M,unknown,05-Jul-21,Marketing,islamabad,,03171240534,fatima.mirza@gmail.com,not rated,
emp0198,hassan,Mirza,F,N/A,24-04-23,Marketing,Islamabad,"67,024",-6722254,,,
EMP 0030,Sara,AHMED,F,46,04-Jul-21,marketing,KARACHI,"69,831",,sara.ahmed@gmail.com,N/A,
EMP 0060,ahmed,Akhtar,f,,03-Mar-21,marketing,karachi,130647,,,N/A,
EMP84,ahmed,AHMED,Male,unknown,31-Jan-21,sales,lahore,N/A,03177726359,ahmed.ahmed@outlook.com,5,
EMP 0088,MARIA,chaudhry,M,49 yrs,14-12-21,sales,LAHORE,PKR 82318,-8837592,maria. chaudhry@hotmail. com,,
EMP0138,ahmed,Khan,Female,53,06-Feb-20,finance,LAHORE,,not provided,missing,,
EMP0048,Sara,HUSSAIN,MALE,44 yrs,24-Jan-20,Sales,islamabad,"87,143",03134277017,,2.7,
EMP 0082,bilal,malik,f,N/A,23-Jun-22,HR,Rawalpindi,PKR 83442,03267751448,bilal.malik @ outlook.com,N/A,
EMP0185,FATIMA,malik,female,40 yrs,16-Nov-20,hr,Islamabad,95198,03355541073,,N/A,
EMP31,bilal,malik,FEMALE,N/A,07-06-22,hr,rawalpindi,"95,549",0321 8708242,BILAL.MALIK@YAHOO.COM,not rated,
EMP 0190,hassan,Qureshi,m,unknown,09-Sep-22,hr,KARACHI,,,N/A,N/A,
EMP0184,ahmed,HUSSAIN,f,41,20-Jul-23,FINANCE,KARACHI,PKR 47943,-9835532,ahmed.hussain@yahoo.com,1,
EMP 0045,MARIA,Qureshi,F,unknown,10-09-21,it,karachi,,03142501452,missing,,
EMP0146,usman,AHMED,male,43,01-17-2021,Marketing,karachi,N/A,N/A,,not rated,
emp0041,hassan,HUSSAIN,Male,24,04-07-23,hr,rawalpindi,PKR 119984,not provided,missing,N/A,
EMP0080,Sara,malik,male,N/A,28-03-23,Finance,Karachi,PKR 53806,03373886597,,N/A,
EMP 0135,Zara,chaudhry,MALE,unknown,02-02-21,Finance,KARACHI,37530,not provided,N/A,not rated,
EMP0087,usman,SHEIKH,m,40 yrs,04-07-23,sales,Lahore,"72,495",N/A,,N/A,
EMP0049,ahmed,Mirza,M,36,09-12-21,FINANCE,Lahore,N/A,03221653943,,not rated,
emp0067,usman,Khan,f,27 yrs,12-Jan-21,SALES,Lahore,,03493458825,usman.khan @ outlook.com,4.2,
EMP0189,FATIMA,Khan,MALE,32 yrs,25-03-20,IT,KARACHI,"44,456",-2839351,fatima. khan@yahoo. com,,
emp0128,usman,malik,M,30 yrs,12-02-23,Marketing,Islamabad,,not provided,usman.malik@gmail.com,,
emp0194,usman,HUSSAIN,female,,17-02-22,H.R,islamabad,N/A,0339 7425458,USMAN.HUSSAIN@YAHOO.COM,not rated,
emp0086,Sara,SHEIKH,M,,08-09-23,sales,islamabad,49087,03449519541,SARA.SHEIKH@HOTMAIL.COM,N/A,
EMP26,MARIA,Akhtar,m,N/A,08-26-2020,it,Islamabad,PKR 99621,03141557516,maria.akhtar @ hotmail.com,N/A,
emp0050,ahmed,HUSSAIN,female,N/A,05-14-2021,hr,islamabad,,03382756251,missing,2,
EMP 0034,Zara,chaudhry,Female,unknown,16-12-21,Sales,islamabad,PKR 75627,,missing,not rated,
EMP51,Zara,butt,female,52 yrs,30-Jan-20,SALES,islamabad,"33,759",0344 2512983,zara.butt@gmail.com,4.8,
emp0067,usman,Khan,f,27 yrs,12-Jan-21,SALES,Lahore,,03493458825,usman.khan @ outlook.com,4.2,
emp0025,bilal,Qureshi,male,,09-03-21,it,KARACHI,75031,,bilal. qureshi@gmail. com,1.5,
emp0175,Zara,AHMED,MALE,unknown,30-Nov-20,marketing,lahore,89316,,N/A,not rated,
EMP68,MARIA,malik,male,,11-15-2022,HR,Rawalpindi,PKR 92023,N/A,,2,
EMP 0004,ahmed,HUSSAIN,male,,26-Sep-21,finance,Islamabad,30742,N/A,AHMED.HUSSAIN@OUTLOOK.COM,,
emp0097,Sara,malik,female,,27-May-21,Sales,Rawalpindi,54876,not provided,sara. malik@yahoo. com,2,
emp0152,bilal,AHMED,m,unknown,14-Dec-20,sales,Rawalpindi,123887,,bilal. ahmed@hotmail. com,3.2,
emp0164,usman,chaudhry,F,unknown,23-02-23,sales,Lahore,75112,03194821543,N/A,N/A,
emp0117,hassan,HUSSAIN,M,,12-02-23,Finance,LAHORE,44915,03352445087,hassan. hussain@gmail. com,not rated,
EMP116,nadia,chaudhry,male,48 yrs,10-10-21,SALES,rawalpindi,47496,03376550984,nadia.chaudhry @ gmail.com,N/A,
emp0011,FATIMA,Khan,male,25 yrs,09-05-21,sales,lahore,,03475952173,missing,,
EMP180,Ali,Qureshi,Male,27,20-07-20,HR,Lahore,37686,-4171586,N/A,N/A,
EMP0200,Zara,AHMED,MALE,42 yrs,20-Apr-22,finance,rawalpindi,86608,-2126513,ZARA.AHMED@OUTLOOK.COM,,
EMP 0111,Ali,Qureshi,MALE,57,13-08-23,Finance,LAHORE,N/A,N/A,ali.qureshi @ hotmail.com,3,
EMP 0182,hassan,Qureshi,Female,34,03-18-2022,marketing,islamabad,N/A,-5334633,N/A,N/A,
EMP0144,MARIA,Qureshi,f,,15-May-23,SALES,Karachi,44665,N/A,N/A,not rated,
emp0165,ahmed,Mirza,Female,unknown,10-Mar-21,I.T,Rawalpindi,"87,425",03151484250,N/A,not rated,
EMP0019,bilal,AHMED,m,N/A,29-Mar-22,Finance,Lahore,,N/A,bilal.ahmed@outlook.com,,
EMP 0066,FATIMA,butt,Male,,12-17-2023,H.R,karachi,147513,N/A,missing,2,
EMP 0062,usman,Khan,M,45,14-05-23,hr,Islamabad,128771,03267060649,N/A,not rated,
EMP40,Sara,Khan,Male,unknown,27-Jul-22,marketing,Lahore,,,,,
EMP0054,MARIA,malik,Male,25,09-17-2021,SALES,rawalpindi,PKR 91513,0313 3296643,,,
EMP1,bilal,Akhtar,M,,06-26-2020,HR,rawalpindi,125555,N/A,BILAL.AKHTAR@OUTLOOK.COM,not rated,
EMP0157,Sara,Qureshi,F,55 yrs,07-21-2022,finance,Lahore,,0326-9178922,missing,4,
EMP52,Zara,butt,female,N/A,09-03-22,H.R,rawalpindi,N/A,not provided,zara.butt@gmail.com,3.7,
EMP 0033,FATIMA,SHEIKH,Female,,06-12-21,Marketing,Lahore,N/A,0345-4186946,fatima.sheikh @ gmail.com,N/A,
EMP 0161,Zara,butt,female,52 yrs,27-Jul-23,IT,Karachi,"75,364",0347-5372699,,not rated,
EMP 0148,hassan,malik,MALE,43 yrs,17-Nov-23,I.T,rawalpindi,"96,827",0323-3883639,hassan.malik@yahoo.com,N/A,
EMP 0073,FATIMA,AHMED,f,,09-05-23,Finance,islamabad,95354,03194634273,fatima.ahmed @ outlook.com,1.5,
emp0192,nadia,butt,MALE,N/A,12-02-20,IT,KARACHI,"92,778",0314-6864282,missing,3,
EMP0176,bilal,malik,Male,56 yrs,06-27-2021,Sales,rawalpindi,54247,N/A,,N/A,
EMP0154,hassan,butt,m,42 yrs,07-Nov-20,IT,islamabad,44720,0348-1852629,hassan. butt@outlook. com,N/A,
EMP59,FATIMA,Khan,female,37,06-Jul-21,it,Rawalpindi,,0323-3077016,fatima. khan@yahoo. com,,
EMP71,Ali,Qureshi,F,N/A,01-04-23,IT,Rawalpindi,"55,551",03333048588,ali.qureshi @ outlook.com,5,
EMP13,ahmed,SHEIKH,FEMALE,55,06-Nov-21,it,Lahore,"39,456",0310 9942458,,,
emp0037,Zara,Mirza,Female,N/A,02-10-20,finance,Islamabad,,0316 1075267,zara.mirza @ outlook.com,3.4,
EMP 0114,nadia,chaudhry,FEMALE,unknown,06-27-2022,FINANCE,KARACHI,44063,N/A,N/A,5,
EMP 0036,Zara,malik,male,57,09-29-2023,it,LAHORE,PKR 85526,03201675452,zara. malik@gmail. com,not rated,
EMP 0145,Ali,Khan,f,50 yrs,23-Feb-21,finance,LAHORE,"61,488",0337-6757000,missing,,
emp0130,bilal,Khan,M,38,11-07-20,Finance,Islamabad,"148,092",0349-3270167,bilal. khan@outlook. com,,
EMP108,bilal,Khan,female,23 yrs,06-20-2020,it,karachi,N/A,0313-8763551,BILAL.KHAN@OUTLOOK.COM,N/A,
EMP0095,bilal,AHMED,Male,,02-Jan-23,FINANCE,LAHORE,81728,03222924992,bilal. ahmed@hotmail. com,not rated,
EMP 0046,FATIMA,butt,Male,27 yrs,16-02-22,sales,KARACHI,"125,562",N/A,FATIMA.BUTT@GMAIL.COM,not rated,
EMP0126,Zara,chaudhry,female,34 yrs,29-09-23,marketing,lahore,148816,0329-4115268,missing,1,
